Class ID,Venue,Start Time,AM/PM,Age Group,Week,Revenue,Credit Awarded (S2/S3/S4)
25SC-DS3111,Danzstage,17:00,PM,Playgroup,3,"$1,750.00",$0.00
25SC-DS3121,Danzstage,16:00,PM,Mini-Tots,3,"$11,081.25",$0.00
25SC-DS4111,Danzstage,17:00,PM,Playgroup,4,"$5,067.50",$0.00
25SC-DS4121,Danzstage,16:00,PM,Mini-Tots,4,"$11,056.25",$0.00
25SC-DS5111,Danzstage,17:00,PM,Playgroup,5,"$1,330.00",$0.00
25SC-DS5121,Danzstage,16:00,PM,Mini-Tots,5,"$4,817.50",$0.00
25SC-DS6111,Danzstage,17:00,PM,Playgroup,6,"$8,662.50","$2,082.50"
25SC-DS6121,Danzstage,16:00,PM,Mini-Tots,6,"$6,467.50","$1,293.50"
25SC-KA1012,Kai Tak Station Plaza,10:00,AM,Playgroup,1,"$2,500.00",$0.00
25SC-KA1021,Kai Tak Station Plaza,9:00,AM,Mini-Tots,1,"$8,335.00",$0.00
25SC-KA1031,Kai Tak Station Plaza,9:00,AM,Explorers,1,"$2,800.00",$0.00
25SC-KA1121,Kai Tak Station Plaza,15:30,PM,Mini-Tots,1,"$5,100.00",$0.00
25SC-KA2011,Kai Tak Station Plaza,9:00,AM,Playgroup,2,"$4,300.00","$2,320.00"
25SC-KA2021,Kai Tak Station Plaza,9:00,AM,Mini-Tots,2,"$19,185.00","$7,760.00"
25SC-KA2121,Kai Tak Station Plaza,15:30,PM,Mini-Tots,2,"$8,600.00","$2,320.00"
25SC-KT3011,"Guidepost Montessori, Kennedy Town",9:30,AM,Playgroup,3,"$5,250.00",$0.00
25SC-KT3021,"Guidepost Montessori, Kennedy Town",10:30,AM,Mini-Tots,3,"$8,750.00",$0.00
25SC-KT5021,"Guidepost Montessori, Kennedy Town",10:30,AM,Mini-Tots,5,"$5,250.00","$2,100.00"
25SC-KT6011,"Guidepost Montessori, Kennedy Town",9:30,AM,Playgroup,6,"$5,050.00","$1,360.00"
25SC-KT6021,"Guidepost Montessori, Kennedy Town",10:30,AM,Mini-Tots,6,"$11,565.00","$2,733.00"
25SC-MS1011,Minisport Hub (Caine Road),9:00,AM,Playgroup,1,"$4,800.00",$0.00
25SC-MS1021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,1,"$7,800.00",$0.00
25SC-MS1031,Minisport Hub (Caine Road),11:00,AM,Explorers,1,$0.00,$0.00
25SC-MS1111,Minisport Hub (Caine Road),16:00,PM,Playgroup,1,"$4,200.00",$0.00
25SC-MS1121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,1,"$7,192.50",$0.00
25SC-MS1122,Minisport Hub (Caine Road),17:00,PM,Mini-Tots,1,"$2,100.00",$0.00
25SC-MS2011,Minisport Hub (Caine Road),9:00,AM,Playgroup,2,"$9,715.00",$0.00
25SC-MS2021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,2,"$9,882.50",$0.00
25SC-MS2031,Minisport Hub (Caine Road),11:00,AM,Explorers,2,"$4,850.00",$0.00
25SC-MS2111,Minisport Hub (Caine Road),16:00,PM,Playgroup,2,"$9,837.50",$0.00
25SC-MS2121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,2,"$8,655.00",$0.00
25SC-MS2122,Minisport Hub (Caine Road),17:00,PM,Mini-Tots,2,"$7,000.00",$0.00
25SC-MS3011,Minisport Hub (Caine Road),9:00,AM,Playgroup,3,"$11,761.25",$0.00
25SC-MS3021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,3,"$10,365.00",$0.00
25SC-MS3031,Minisport Hub (Caine Road),11:00,AM,Explorers,3,"$3,480.00",$0.00
25SC-MS3111,Minisport Hub (Caine Road),16:00,PM,Playgroup,3,"$12,250.00",$0.00
25SC-MS3121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,3,"$9,622.50",$0.00
25SC-MS3122,Minisport Hub (Caine Road),17:00,PM,Mini-Tots,3,"$5,250.00",$0.00
25SC-MS4011,Minisport Hub (Caine Road),9:00,AM,Playgroup,4,"$8,050.00",$0.00
25SC-MS4021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,4,"$9,805.00",$0.00
25SC-MS4031,Minisport Hub (Caine Road),11:00,AM,Explorers,4,"$1,750.00",$0.00
25SC-MS4111,Minisport Hub (Caine Road),16:00,PM,Playgroup,4,"$10,365.00",$0.00
25SC-MS4121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,4,"$11,455.00",$0.00
25SC-MS4122,Minisport Hub (Caine Road),17:00,PM,Mini-Tots,4,"$8,662.50",$0.00
25SC-MS5011,Minisport Hub (Caine Road),9:00,AM,Playgroup,5,"$11,415.00",$0.00
25SC-MS5021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,5,"$11,232.50","$2,736.50"
25SC-MS5031,Minisport Hub (Caine Road),11:00,AM,Explorers,5,"$5,950.00","$1,050.00"
25SC-MS5111,Minisport Hub (Caine Road),16:00,PM,Playgroup,5,"$8,137.50",$0.00
25SC-MS5121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,5,"$5,338.00",$0.00
25SC-MS6011,Minisport Hub (Caine Road),9:00,AM,Playgroup,6,"$10,365.00","$2,423.00"
25SC-MS6021,Minisport Hub (Caine Road),10:00,AM,Mini-Tots,6,"$6,865.00","$2,698.00"
25SC-MS6031,Minisport Hub (Caine Road),11:00,AM,Explorers,6,"$7,000.00","$1,663.50"
25SC-MS6111,Minisport Hub (Caine Road),16:00,PM,Playgroup,6,"$8,487.50","$2,357.50"
25SC-MS6121,Minisport Hub (Caine Road),15:00,PM,Mini-Tots,6,"$8,287.50","$1,750.00"
25SC-MS6122,Minisport Hub (Caine Road),17:00,PM,Mini-Tots,6,"$3,500.00","$1,400.00"
25SC-MW1111,Malvern College Pre-School Hong Kong (Coronation Circle),16:00,PM,Playgroup,1,"$6,850.00",$0.00
25SC-MW1121,Malvern College Pre-School Hong Kong (Coronation Circle),15:00,PM,Mini-Tots,1,"$2,840.00",$0.00
25SC-MW2111,Malvern College Pre-School Hong Kong (Coronation Circle),16:00,PM,Playgroup,2,"$8,750.00","$3,500.00"
25SC-MW2121,Malvern College Pre-School Hong Kong (Coronation Circle),15:00,PM,Mini-Tots,2,"$6,445.00","$2,578.00"
25SC-MW3111,Malvern College Pre-School Hong Kong (Coronation Circle),16:00,PM,Playgroup,3,"$6,100.00",$0.00
25SC-MW3121,Malvern College Pre-School Hong Kong (Coronation Circle),15:00,PM,Mini-Tots,3,"$13,500.00",$0.00
25SC-MW4111,Malvern College Pre-School Hong Kong (Coronation Circle),16:00,PM,Playgroup,4,"$6,800.00",$0.00
25SC-MW4121,Malvern College Pre-School Hong Kong (Coronation Circle),15:00,PM,Mini-Tots,4,"$13,550.00",$0.00
25SC-MW5111,Malvern College Pre-School Hong Kong (Coronation Circle),16:00,PM,Playgroup,5,"$6,800.00","$2,020.00"
25SC-MW5121,Malvern College Pre-School Hong Kong (Coronation Circle),15:00,PM,Mini-Tots,5,"$14,750.00","$2,640.00"
25SC-NC1012,Nam Cheong Park,10:00,AM,Playgroup,1,"$4,100.00",$0.00
25SC-NC1021,Nam Cheong Park,9:00,AM,Mini-Tots,1,"$4,425.00",$0.00
25SC-NC1031,Nam Cheong Park,9:00,AM,Explorers,1,"$4,300.00",$0.00
25SC-NC1121,Nam Cheong Park,15:30,PM,Mini-Tots,1,"$5,603.75",$0.00
25SC-NC2011,Nam Cheong Park,9:00,AM,Playgroup,2,"$8,800.00","$4,120.00"
25SC-NC2021,Nam Cheong Park,9:00,AM,Mini-Tots,2,"$14,375.00","$5,750.00"
25SC-NC2031,Nam Cheong Park,9:00,AM,Explorers,2,"$5,000.00","$3,500.00"
25SC-NC2112,Nam Cheong Park,16:30,PM,Playgroup,2,"$9,000.00","$1,800.00"
25SC-NC2121,Nam Cheong Park,15:30,PM,Mini-Tots,2,"$12,103.75","$2,920.75"
25SC-NC3021,Nam Cheong Park,9:00,AM,Mini-Tots,3,"$2,875.00","$2,455.00"
25SC-NC3031,Nam Cheong Park,9:00,AM,Explorers,3,"$2,300.00","$1,500.00"
25SC-NC3121,Nam Cheong Park,15:30,PM,Mini-Tots,3,"$9,253.75","$2,350.75"
25SC-NC4021,Nam Cheong Park,9:00,AM,Mini-Tots,4,"$7,060.00","$1,912.00"
25SC-NC4031,Nam Cheong Park,9:00,AM,Explorers,4,"$4,675.00","$1,935.00"
25SC-NC4121,Nam Cheong Park,15:30,PM,Mini-Tots,4,"$4,750.00",$950.00
25SC-NC5021,Nam Cheong Park,9:00,AM,Mini-Tots,5,"$10,000.00","$3,846.00"
25SC-NC5031,Nam Cheong Park,9:00,AM,Explorers,5,"$9,675.00","$1,475.00"
25SC-NC6021,Nam Cheong Park,9:00,AM,Mini-Tots,6,"$21,260.00","$8,948.00"
25SC-NC6022,Nam Cheong Park,9:00,AM,Mini-Tots,6,"$7,500.00","$6,500.00"
25SC-NC6031,Nam Cheong Park,9:00,AM,Explorers,6,"$7,375.00","$4,950.00"
25SC-NC6121,Nam Cheong Park,15:30,PM,Mini-Tots,6,"$7,103.75","$3,920.75"
25SC-SD3011,SDF Productions (Causeway Bay),9:00,AM,Playgroup,3,"$3,460.00",$0.00
25SC-SD3012,SDF Productions (Causeway Bay),11:00,AM,Playgroup,3,"$7,000.00",$0.00
25SC-SD3021,SDF Productions (Causeway Bay),10:00,AM,Mini-Tots,3,"$7,000.00",$0.00
25SC-SD4011,SDF Productions (Causeway Bay),9:00,AM,Playgroup,4,"$5,150.00",$0.00
25SC-SD4012,SDF Productions (Causeway Bay),11:00,AM,Playgroup,4,"$3,500.00",$0.00
25SC-SD4021,SDF Productions (Causeway Bay),10:00,AM,Mini-Tots,4,"$10,150.00",$0.00
25SC-SD5011,SDF Productions (Causeway Bay),9:00,AM,Playgroup,5,"$5,250.00",$0.00
25SC-SD5012,SDF Productions (Causeway Bay),11:00,AM,Playgroup,5,"$8,750.00","$1,750.00"
25SC-SD5021,SDF Productions (Causeway Bay),10:00,AM,Mini-Tots,5,"$5,250.00","$2,100.00"
25SC-SD6011,SDF Productions (Causeway Bay),9:00,AM,Playgroup,6,"$4,907.54","$1,331.51"
25SC-SD6012,SDF Productions (Causeway Bay),11:00,AM,Playgroup,6,"$7,000.00","$1,750.00"
25SC-SD6021,SDF Productions (Causeway Bay),10:00,AM,Mini-Tots,6,"$11,537.50","$2,727.50"
25SC-SS3011,22 Dance Limited (Causeway Bay),9:00,AM,Playgroup,3,"$5,150.00",$0.00
25SC-SS3021,22 Dance Limited (Causeway Bay),10:00,AM,Mini-Tots,3,"$7,300.00",$0.00
25SC-SS4011,22 Dance Limited (Causeway Bay),9:00,AM,Playgroup,4,"$4,675.00",$0.00
25SC-SS4021,22 Dance Limited (Causeway Bay),10:00,AM,Mini-Tots,4,"$19,405.00",$0.00
25SC-SS5021,22 Dance Limited (Causeway Bay),10:00,AM,Mini-Tots,5,"$19,600.00","$4,420.00"
25SC-SS6011,22 Dance Limited (Causeway Bay),9:00,AM,Playgroup,6,"$9,542.50","$1,710.00"
25SC-SS6021,22 Dance Limited (Causeway Bay),10:00,AM,Mini-Tots,6,"$16,605.00","$4,321.00"
25SC-SY2112,Sun Yat Sen Memorial Park,16:30,PM,Playgroup,2,"$5,250.00",$0.00
25SC-SY2121,Sun Yat Sen Memorial Park,15:30,PM,Mini-Tots,2,"$20,127.50",$0.00
25SC-SY3131,Sun Yat Sen Memorial Park,15:30,PM,Explorers,3,"$4,660.00",$500.00
25SC-SY4121,Sun Yat Sen Memorial Park,15:30,PM,Mini-Tots,4,"$7,200.00",$0.00
25SC-SY5121,Sun Yat Sen Memorial Park,15:30,PM,Mini-Tots,5,"$7,500.00",$0.00
25SC-SY6111,Sun Yat Sen Memorial Park,15:30,PM,Playgroup,6,"$4,973.33",$958.17
25SC-SY6121,Sun Yat Sen Memorial Park,15:30,PM,Mini-Tots,6,"$9,800.00","$1,460.00"
